Designator,Mid X,Mid Y,Rotation,Layer
SW47,260.4575,88.8,0.0,top
SW48,278.4575,83.7,0.0,top
SW49,296.4575,83.7,0.0,top
SW5,100.4575,117.7,0.0,top
SW50,206.4575,66.7,0.0,top
SW51,224.4575,71.8,0.0,top
SW52,242.4575,76.9,0.0,top
SW53,260.4575,71.8,0.0,top
SW54,278.4575,66.7,0.0,top
SW55,296.4575,66.7,0.0,top
SW56,206.4575,49.7,0.0,top
SW57,224.4575,54.8,0.0,top
SW58,242.4575,59.9,0.0,top
SW59,260.4575,54.8,0.0,top
SW6,10.4575,100.7,0.0,top
SW60,278.4575,49.7,0.0,top
SW61,296.4575,49.7,0.0,top
SW62,186.966415,24.258955,290.0,top
SW63,209.9075,26.2,10.0,top
SW64,233.4575,29.3,0.0,top
SW66,163.415692,54.711467,58.0,bottom
SW69,143.048058,54.711467,302.0,bottom
SW7,28.4575,100.7,0.0,top
SW8,46.4575,105.8,0.0,top
SW9,64.4575,110.9,0.0,top
U1,140.0,108.5,270.0,bottom
U10,175.095505,118.076488,230.0,bottom
U11,180.803399,128.394256,173.0,bottom
U2,163.75,104.5,270.0,bottom
U3,128.8075,89.5375,270.0,bottom
U4,178.184411,90.034278,90.0,bottom
U5,135.0,115.8,310.0,bottom
U6,163.75,111.0,270.0,bottom
U9,126.554668,128.0788,187.0,bottom
USBC1,138.209783,124.420771,187.0,bottom
USBC2,168.598743,124.576104,173.0,bottom
USBC3,136.1,46.763749,301.0,bottom
USBC4,170.639841,46.763749,59.0,bottom
Y1,140.0,90.4,180.0,bottom
Y2,166.6,90.4,0.0,bottom
