### Footprint positions - created on 2025-09-27T02:51:01+0100 ###
### Printed by KiCad version 9.0.4
## Unit = mm, Angle = deg.
## Side : bottom
# Ref     Val             Package                                            PosX       PosY       Rot  Side
D41       ~               D_SOD-123                                      315.2375  -104.6000    0.0000  bottom
D42       ~               D_SOD-123                                      333.0375  -109.8000    0.0000  bottom
D43       ~               D_SOD-123                                      261.0375  -126.6000    0.0000  bottom
D44       ~               D_SOD-123                                      279.0375  -121.4000    0.0000  bottom
D45       ~               D_SOD-123                                      297.0375  -116.2000    0.0000  bottom
D46       ~               D_SOD-123                                      315.0375  -121.4000    0.0000  bottom
D47       ~               D_SOD-123                                      333.0375  -126.6000    0.0000  bottom
D48       ~               D_SOD-123                                      351.0375  -126.4000    0.0000  bottom
D49       ~               D_SOD-123                                      261.2375  -143.4000    0.0000  bottom
D50       ~               D_SOD-123                                      279.0375  -138.4000    0.0000  bottom
D51       ~               D_SOD-123                                      297.0375  -133.4000    0.0000  bottom
D52       ~               D_SOD-123                                      315.2375  -138.4000    0.0000  bottom
D53       ~               D_SOD-123                                      333.0375  -143.6000    0.0000  bottom
D54       ~               D_SOD-123                                      351.0375  -143.4000    0.0000  bottom
D55       ~               D_SOD-123                                      261.0375  -160.4000    0.0000  bottom
D56       ~               D_SOD-123                                      279.0375  -155.4000    0.0000  bottom
D57       ~               D_SOD-123                                      297.0375  -150.4000    0.0000  bottom
D58       ~               D_SOD-123                                      315.0375  -155.4000    0.0000  bottom
D59       ~               D_SOD-123                                      333.2375  -160.6000    0.0000  bottom
D60       ~               D_SOD-123                                      351.0375  -160.4000    0.0000  bottom
D61       ~               D_SOD-123                                      261.0375  -177.4000    0.0000  bottom
D62       ~               D_SOD-123                                      279.0375  -172.4000    0.0000  bottom
D63       ~               D_SOD-123                                      297.0375  -167.2000    0.0000  bottom
D64       ~               D_SOD-123                                      315.0375  -172.4000    0.0000  bottom
D65       ~               D_SOD-123                                      333.0375  -177.4000    0.0000  bottom
D66       ~               D_SOD-123                                      351.0375  -177.4000    0.0000  bottom
D67       ~               D_SOD-123                                      234.6375  -206.6000  -70.0000  bottom
D68       ~               D_SOD-123                                      264.8375  -199.8000   10.0000  bottom
D69       ~               D_SOD-123                                      288.0375  -197.8000    0.0000  bottom
LED1      4960            4960_ADA                                       148.6000  -112.4000    0.0000  bottom
LED2      4960            4960_ADA                                       130.6000  -107.2000    0.0000  bottom
LED3      4960            4960_ADA                                       112.4000  -102.2000    0.0000  bottom
LED4      4960            4960_ADA                                        94.4000  -107.2000    0.0000  bottom
LED5      4960            4960_ADA                                        76.4000  -112.4000    0.0000  bottom
LED6      4960            4960_ADA                                        58.2000  -129.2000  180.0000  bottom
LED7      4960            4960_ADA                                        76.4000  -129.2000  180.0000  bottom
LED8      4960            4960_ADA                                        94.6000  -124.0000  180.0000  bottom
LED9      4960            4960_ADA                                       112.4000  -119.0000  180.0000  bottom
LED10     4960            4960_ADA                                       130.4000  -124.0000  180.0000  bottom
LED11     4960            4960_ADA                                       148.3019  -129.0507  180.0000  bottom
LED12     4960            4960_ADA                                       148.2000  -146.0000    0.0000  bottom
LED13     4960            4960_ADA                                       130.4000  -141.2000    0.0000  bottom
LED14     4960            4960_ADA                                       112.4000  -136.0000    0.0000  bottom
LED15     4960            4960_ADA                                        94.6000  -141.2000    0.0000  bottom
LED16     4960            4960_ADA                                        76.4000  -146.1810    0.0000  bottom
LED17     4960            4960_ADA                                        58.4000  -146.2000    0.0000  bottom
LED18     4960            4960_ADA                                        58.4000  -163.0000  180.0000  bottom
LED19     4960            4960_ADA                                        76.4000  -163.2000  180.0000  bottom
LED20     4960            4960_ADA                                        94.6000  -158.0000  180.0000  bottom
LED21     4960            4960_ADA                                       112.6000  -152.8000  180.0000  bottom
LED22     4960            4960_ADA                                       130.8000  -158.0000  180.0000  bottom
LED23     4960            4960_ADA                                       148.8000  -162.8000  180.0000  bottom
LED24     4960            4960_ADA                                       148.6000  -180.4000    0.0000  bottom
LED25     4960            4960_ADA                                       130.2000  -175.0000    0.0000  bottom
LED26     4960            4960_ADA                                       112.6000  -170.0000    0.0000  bottom
LED27     4960            4960_ADA                                        94.4000  -175.0000    0.0000  bottom
LED28     4960            4960_ADA                                        76.4000  -180.2000    0.0000  bottom
LED29     4960            4960_ADA                                        58.4000  -180.2000    0.0000  bottom
LED30     4960            4960_ADA                                       121.4000  -200.6000  180.0000  bottom
LED31     4960            4960_ADA                                       144.6000  -203.8000  170.0000  bottom
LED32     4960            4960_ADA                                       172.6000  -202.4000  -110.0000  bottom
LED33     4960            4960_ADA                                       254.4000  -112.1810  180.0000  bottom
LED34     4960            4960_ADA                                       272.4575  -107.1810  180.0000  bottom
LED35     4960            4960_ADA                                       290.6000  -101.9810  180.0000  bottom
LED36     4960            4960_ADA                                       308.6000  -106.9810  180.0000  bottom
LED37     4960            4960_ADA                                       326.4000  -112.0000  180.0000  bottom
LED38     4960            4960_ADA                                       344.6000  -129.2190    0.0000  bottom
LED39     4960            4960_ADA                                       254.4000  -145.9810  180.0000  bottom
LED40     4960            4960_ADA                                       254.4000  -128.9810    0.0000  bottom
LED41     4960            4960_ADA                                       272.4000  -123.9810    0.0000  bottom
LED42     4960            4960_ADA                                       290.4000  -119.0000    0.0000  bottom
LED43     4960            4960_ADA                                       308.4000  -124.1810    0.0000  bottom
LED44     4960            4960_ADA                                       326.4000  -129.2000    0.0000  bottom
LED45     4960            4960_ADA                                       272.6000  -140.7810  180.0000  bottom
LED46     4960            4960_ADA                                       290.4000  -135.7810  180.0000  bottom
LED47     4960            4960_ADA                                       308.4000  -140.7810  180.0000  bottom
LED48     4960            4960_ADA                                       326.4000  -145.9810  180.0000  bottom
LED49     4960            4960_ADA                                       344.6000  -145.9810  180.0000  bottom
LED50     4960            4960_ADA                                       344.6000  -162.9810    0.0000  bottom
LED51     4960            4960_ADA                                       254.4000  -179.8000  180.0000  bottom
LED52     4960            4960_ADA                                       254.4000  -162.8000    0.0000  bottom
LED53     4960            4960_ADA                                       272.6000  -157.8000    0.0000  bottom
LED54     4960            4960_ADA                                       290.4000  -152.7810    0.0000  bottom
LED55     4960            4960_ADA                                       308.4000  -157.9810    0.0000  bottom
LED56     4960            4960_ADA                                       326.4000  -163.0000    0.0000  bottom
LED57     4960            4960_ADA                                       272.6000  -174.8000  180.0000  bottom
LED58     4960            4960_ADA                                       290.4000  -169.5811  180.0000  bottom
LED59     4960            4960_ADA                                       308.4000  -174.9810  180.0000  bottom
LED60     4960            4960_ADA                                       326.4000  -179.9810  180.0000  bottom
LED61     4960            4960_ADA                                       344.6000  -179.9810  180.0000  bottom
LED62     4960            4960_ADA                                       281.4000  -200.2000    0.0000  bottom
LED63     4960            4960_ADA                                       230.5516  -202.4073  -70.0000  bottom
LED64     4960            4960_ADA                                       258.8000  -203.1810   10.0000  bottom
R1        5.1kΩ          R_01005_0402Metric_Pad0.57x0.30mm_HandSolder   188.5000  -102.5000  -100.0000  bottom
R2        5.1kΩ          R_01005_0402Metric_Pad0.57x0.30mm_HandSolder   217.8000  -101.8000  -80.0000  bottom
R3        10k             R_0402_1005Metric_Pad0.72x0.64mm_HandSolder    187.7062  -169.0825   60.0000  bottom
R4        10k             R_0402_1005Metric_Pad0.72x0.64mm_HandSolder    214.6000  -168.4000  -60.0000  bottom
R5        330             R_2512_6332Metric_Pad1.40x3.35mm_HandSolder    211.6000  -121.6000  -90.0000  bottom
R6        10k             R_0402_1005Metric_Pad0.72x0.64mm_HandSolder    214.8000  -116.8000  180.0000  bottom
U1        LT1963AxST-3.3  SOT-223-3_TabPin2                              188.0000  -116.5000   90.0000  bottom
U2        LT1963AxST-3.3  SOT-223-3_TabPin2                              230.0000  -111.6000   90.0000  bottom
U3        STM32F446RCTx   LQFP-64_10x10mm_P0.5mm                         176.8075  -135.4625  180.0000  bottom
U4        STM32F446RCTx   LQFP-64_10x10mm_P0.5mm                         226.1844  -134.9657    0.0000  bottom
U5        USBLC6-2SC6     SOT-23-6                                       183.0000  -109.2000  -50.0000  bottom
U6        USBLC6-2SC6     SOT-23-6                                       221.0000  -108.4000   30.0000  bottom
Y1        8MHz            Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm       188.0000  -134.6000    0.0000  bottom
Y2        8MHz            Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm       214.6000  -134.6000  180.0000  bottom
## End
