Designator,Mid X,Mid Y,Rotation,Layer
LED25,82.2,50.0,180.0,bottom
LED26,64.6,55.0,180.0,bottom
LED27,46.4,50.0,180.0,bottom
LED28,28.4,44.8,180.0,bottom
LED29,10.4,44.8,180.0,bottom
LED3,64.4,122.8,180.0,bottom
LED30,73.4,24.4,0.0,bottom
LED31,96.6,21.2,10.0,bottom
LED32,124.6,22.6,290.0,bottom
LED33,206.4,112.81895,0.0,bottom
LED34,224.4575,117.81895,0.0,bottom
LED35,242.6,123.01895,0.0,bottom
LED36,260.6,118.01895,0.0,bottom
LED37,278.4,113.0,0.0,bottom
LED38,296.6,95.78105,180.0,bottom
LED39,206.4,79.01895,0.0,bottom
LED4,46.4,117.8,180.0,bottom
LED40,206.4,96.01895,180.0,bottom
LED41,224.4,101.01895,180.0,bottom
LED42,242.4,106.0,180.0,bottom
LED43,260.4,100.81895,180.0,bottom
LED44,278.4,95.8,180.0,bottom
LED45,224.6,84.21895,0.0,bottom
LED46,242.4,89.21895,0.0,bottom
LED47,260.4,84.21895,0.0,bottom
LED48,278.4,79.01895,0.0,bottom
LED49,296.6,79.01895,0.0,bottom
LED5,28.4,112.6,180.0,bottom
LED50,296.6,62.01895,180.0,bottom
LED51,206.4,45.2,0.0,bottom
LED52,206.4,62.2,180.0,bottom
LED53,224.6,67.2,180.0,bottom
LED54,242.4,72.21895,180.0,bottom
LED55,260.4,67.01895,180.0,bottom
LED56,278.4,62.0,180.0,bottom
LED57,224.6,50.2,0.0,bottom
LED58,242.4,55.41895,0.0,bottom
LED59,260.4,50.01895,0.0,bottom
LED6,10.2,95.8,0.0,bottom
LED60,278.4,45.01895,0.0,bottom
LED61,296.6,45.01895,0.0,bottom
LED62,233.4,24.8,180.0,bottom
LED63,182.55159,22.592708,250.0,bottom
LED64,210.8,21.81895,170.0,bottom
LED7,28.4,95.8,0.0,bottom
LED8,46.6,101.0,0.0,bottom
LED9,64.4,106.0,0.0,bottom
R1,131.25,125.25,280.0,bottom
R3,139.70625,55.917451,120.0,bottom
R4,167.25,58.75,240.0,bottom
R5,169.25,109.25,180.0,bottom
R6,169.25,111.5,0.0,bottom
R7,145.0,123.75,270.0,bottom
R8,175.675,126.0,260.0,bottom
R9,162.0,124.25,260.0,bottom
SW1,28.445,117.7,0.0,top
SW10,82.4575,105.8,0.0,top
SW11,100.4575,100.7,0.0,top
SW12,10.4575,83.7,0.0,top
SW13,28.4575,83.7,0.0,top
SW14,46.5075,88.8,0.0,top
SW15,64.4575,93.9,0.0,top
SW16,82.4575,88.8,0.0,top
SW17,100.4575,83.7,0.0,top
SW18,10.4575,66.7,0.0,top
SW19,28.4575,66.7,0.0,top
SW2,46.4575,122.8,0.0,top
SW20,46.4575,71.8,0.0,top
SW21,64.4575,76.9,0.0,top
SW22,82.4575,71.8,0.0,top
SW23,100.4575,66.7,0.0,top
SW24,10.4575,49.7,0.0,top
SW25,28.4575,49.7,0.0,top
SW26,46.4575,54.8,0.0,top
SW27,64.4575,59.9,0.0,top
SW28,82.4575,54.8,0.0,top
SW29,100.4575,49.7,0.0,top
SW3,64.4575,127.9,0.0,top
SW30,73.4575,29.3,0.0,top
SW31,97.270875,26.112249,350.0,top
SW32,120.0075,24.2,70.0,top
SW33,206.4575,117.7,0.0,top
SW34,224.4575,122.8,0.0,top
SW35,242.4575,127.9,0.0,top
SW36,260.4575,122.8,0.0,top
SW37,278.4575,117.7,0.0,top
SW38,206.4575,100.7,0.0,top
SW39,224.4575,105.8,0.0,top
SW4,82.4575,122.8,0.0,top
SW40,242.4575,110.9,0.0,top
SW41,260.4575,105.8,0.0,top
SW42,278.4575,100.7,0.0,top
SW43,296.4575,100.7,0.0,top
SW44,206.4575,83.7,0.0,top
SW45,224.4575,88.8,0.0,top
SW46,242.4575,93.9,0.0,top
SW47,260.4575,88.8,0.0,top
SW48,278.4575,83.7,0.0,top
SW49,296.4575,83.7,0.0,top
SW5,100.4575,117.7,0.0,top
SW50,206.4575,66.7,0.0,top
SW51,224.4575,71.8,0.0,top
SW52,242.4575,76.9,0.0,top
SW53,260.4575,71.8,0.0,top
SW54,278.4575,66.7,0.0,top
SW55,296.4575,66.7,0.0,top
SW56,206.4575,49.7,0.0,top
SW57,224.4575,54.8,0.0,top
SW58,242.4575,59.9,0.0,top
SW59,260.4575,54.8,0.0,top
SW6,10.4575,100.7,0.0,top
SW60,278.4575,49.7,0.0,top
SW61,296.4575,49.7,0.0,top
SW62,186.966415,24.258955,290.0,top
SW63,209.9075,26.2,10.0,top
