Ref,Val,Package,PosX,PosY,Rot,Side
"D62","~","D_SOD-123",279.037500,-172.400000,0.000000,bottom
"D63","~","D_SOD-123",297.037500,-167.200000,0.000000,bottom
"D64","~","D_SOD-123",315.037500,-172.400000,0.000000,bottom
"D65","~","D_SOD-123",333.037500,-177.400000,0.000000,bottom
"D66","~","D_SOD-123",351.037500,-177.400000,0.000000,bottom
"D67","~","D_SOD-123",234.637500,-206.600000,-70.000000,bottom
"D68","~","D_SOD-123",264.837500,-199.800000,10.000000,bottom
"D69","~","D_SOD-123",288.037500,-197.800000,0.000000,bottom
"LED1","4960","4960_ADA",148.600000,-112.400000,0.000000,bottom
"LED2","4960","4960_ADA",130.600000,-107.200000,0.000000,bottom
"LED3","4960","4960_ADA",112.400000,-102.200000,0.000000,bottom
"LED4","4960","4960_ADA",94.400000,-107.200000,0.000000,bottom
"LED5","4960","4960_ADA",76.400000,-112.400000,0.000000,bottom
"LED6","4960","4960_ADA",58.200000,-129.200000,180.000000,bottom
"LED7","4960","4960_ADA",76.400000,-129.200000,180.000000,bottom
"LED8","4960","4960_ADA",94.600000,-124.000000,180.000000,bottom
"LED9","4960","4960_ADA",112.400000,-119.000000,180.000000,bottom
"LED10","4960","4960_ADA",130.400000,-124.000000,180.000000,bottom
"LED11","4960","4960_ADA",148.301902,-129.050699,180.000000,bottom
"LED12","4960","4960_ADA",148.200000,-146.000000,0.000000,bottom
"LED13","4960","4960_ADA",130.400000,-141.200000,0.000000,bottom
"LED14","4960","4960_ADA",112.400000,-136.000000,0.000000,bottom
"LED15","4960","4960_ADA",94.600000,-141.200000,0.000000,bottom
"LED16","4960","4960_ADA",76.400000,-146.181050,0.000000,bottom
"LED17","4960","4960_ADA",58.400000,-146.200000,0.000000,bottom
"LED18","4960","4960_ADA",58.400000,-163.000000,180.000000,bottom
"LED19","4960","4960_ADA",76.400000,-163.200000,180.000000,bottom
"LED20","4960","4960_ADA",94.600000,-158.000000,180.000000,bottom
"LED21","4960","4960_ADA",112.600000,-152.800000,180.000000,bottom
"LED22","4960","4960_ADA",130.800000,-158.000000,180.000000,bottom
"LED23","4960","4960_ADA",148.800000,-162.800000,180.000000,bottom
"LED24","4960","4960_ADA",148.600000,-180.400000,0.000000,bottom
"LED25","4960","4960_ADA",130.200000,-175.000000,0.000000,bottom
"LED26","4960","4960_ADA",112.600000,-170.000000,0.000000,bottom
"LED27","4960","4960_ADA",94.400000,-175.000000,0.000000,bottom
"LED28","4960","4960_ADA",76.400000,-180.200000,0.000000,bottom
"LED29","4960","4960_ADA",58.400000,-180.200000,0.000000,bottom
"LED30","4960","4960_ADA",121.400000,-200.600000,180.000000,bottom
"LED31","4960","4960_ADA",144.600000,-203.800000,170.000000,bottom
"LED32","4960","4960_ADA",172.600000,-202.400000,-110.000000,bottom
"LED33","4960","4960_ADA",254.400000,-112.181050,180.000000,bottom
"LED34","4960","4960_ADA",272.457500,-107.181050,180.000000,bottom
"LED35","4960","4960_ADA",290.600000,-101.981050,180.000000,bottom
"LED36","4960","4960_ADA",308.600000,-106.981050,180.000000,bottom
"LED37","4960","4960_ADA",326.400000,-112.000000,180.000000,bottom
"LED38","4960","4960_ADA",344.600000,-129.218950,0.000000,bottom
"LED39","4960","4960_ADA",254.400000,-145.981050,180.000000,bottom
"LED40","4960","4960_ADA",254.400000,-128.981050,0.000000,bottom
"LED41","4960","4960_ADA",272.400000,-123.981050,0.000000,bottom
"LED42","4960","4960_ADA",290.400000,-119.000000,0.000000,bottom
"LED43","4960","4960_ADA",308.400000,-124.181050,0.000000,bottom
"LED44","4960","4960_ADA",326.400000,-129.200000,0.000000,bottom
"LED45","4960","4960_ADA",272.600000,-140.781050,180.000000,bottom
"LED46","4960","4960_ADA",290.400000,-135.781050,180.000000,bottom
"LED47","4960","4960_ADA",308.400000,-140.781050,180.000000,bottom
"LED48","4960","4960_ADA",326.400000,-145.981050,180.000000,bottom
"LED49","4960","4960_ADA",344.600000,-145.981050,180.000000,bottom
"LED50","4960","4960_ADA",344.600000,-162.981050,0.000000,bottom
"LED51","4960","4960_ADA",254.400000,-179.800000,180.000000,bottom
"LED52","4960","4960_ADA",254.400000,-162.800000,0.000000,bottom
"LED53","4960","4960_ADA",272.600000,-157.800000,0.000000,bottom
"LED54","4960","4960_ADA",290.400000,-152.781050,0.000000,bottom
"LED55","4960","4960_ADA",308.400000,-157.981050,0.000000,bottom
"LED56","4960","4960_ADA",326.400000,-163.000000,0.000000,bottom
"LED57","4960","4960_ADA",272.600000,-174.800000,180.000000,bottom
"LED58","4960","4960_ADA",290.400000,-169.581050,180.000000,bottom
"LED59","4960","4960_ADA",308.400000,-174.981050,180.000000,bottom
"LED60","4960","4960_ADA",326.400000,-179.981050,180.000000,bottom
"LED61","4960","4960_ADA",344.600000,-179.981050,180.000000,bottom
"LED62","4960","4960_ADA",281.400000,-200.200000,0.000000,bottom
"LED63","4960","4960_ADA",230.551590,-202.407292,-70.000000,bottom
"LED64","4960","4960_ADA",258.800000,-203.181050,10.000000,bottom
"R1","5.1kΩ","R_0603_1608Metric",188.500000,-101.250000,-90.000000,bottom
"R2","5.1kΩ","R_0603_1608Metric",217.800000,-101.800000,-80.000000,bottom
"R3","10k","R_0805_2012Metric",187.706250,-169.082549,60.000000,bottom
"R4","10k","R_0805_2012Metric",214.600000,-168.400000,-60.000000,bottom
"R5","330","R_0805_2012Metric",212.500000,-119.250000,0.000000,bottom
"R6","10k","R_0805_2012Metric",216.250000,-117.250000,180.000000,bottom
"U1","LT1963AxST-3.3","SOT-223-3_TabPin2",188.000000,-116.500000,90.000000,bottom
"U2","LT1963AxST-3.3","SOT-223-3_TabPin2",229.250000,-111.600000,90.000000,bottom
"U3","STM32F446RCTx","LQFP-64_10x10mm_P0.5mm",176.807500,-135.462500,180.000000,bottom
"U4","STM32F446RCTx","LQFP-64_10x10mm_P0.5mm",226.184411,-134.965722,0.000000,bottom
"U5","USBLC6-2SC6","SOT-23-6",183.000000,-109.200000,-50.000000,bottom
"U6","USBLC6-2SC6","SOT-23-6",221.000000,-108.400000,30.000000,bottom
"Y1","8MHz","Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm",188.000000,-134.600000,0.000000,bottom
"Y2","8MHz","Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm",214.600000,-134.600000,180.000000,bottom
